domain,tier,multiplier,bids,views,clicks,shrunk_rate
mumslittleexplorers.com,insufficient_data,1.0,2,0,0,0.074588
mrsashleyfrench.com,insufficient_data,1.0,14,0,0,0.054246
mrscriddleskitchen.com,insufficient_data,1.0,1,0,0,0.076994
mrsdscorner.com,insufficient_data,1.0,11,0,0,0.058215
mummytravels.com,insufficient_data,1.0,14,0,0,0.054246
mrsplemonskindergarten.com,insufficient_data,1.0,17,0,0,0.050784
mummysbusyworld.com,insufficient_data,1.0,25,0,0,0.043397
my-dailythoughts.com,insufficient_data,1.0,1,0,0,0.076994
multitran.com,insufficient_data,1.0,10,2,2,0.109671
mulberrywindacres.com,insufficient_data,1.0,8,0,0,0.062811
mychicagosteak.com,insufficient_data,1.0,2,0,0,0.074588
mugglenet.com,insufficient_data,1.0,2,1,1,0.105838
muchbutter.com,insufficient_data,1.0,25,0,0,0.043397
mtstandard.com,insufficient_data,1.0,7,0,0,0.064509
mtshastanews.com,insufficient_data,1.0,1,0,0,0.076994
mrsrichardsonsclass.com,insufficient_data,1.0,16,0,0,0.051887
mrswillskindergarten.com,insufficient_data,1.0,26,0,0,0.042622
mspoweruser.com,insufficient_data,1.0,5,1,1,0.096766
mstravelsolo.com,insufficient_data,1.0,10,1,1,0.084671
mtairynews.com,insufficient_data,1.0,2,2,2,0.137088
mtnweekly.com,insufficient_data,1.0,11,1,1,0.082605
muranochickenfarm.com,insufficient_data,1.0,18,0,0,0.049726
murder-mayhem.com,insufficient_data,1.0,1,0,0,0.076994
muscatinejournal.com,insufficient_data,1.0,29,3,3,0.091302
musclemommasourdough.com,insufficient_data,1.0,26,0,0,0.042622
mx6.com,insufficient_data,1.0,2,0,0,0.074588
motorcycleforum.com,insufficient_data,1.0,3,0,0,0.072328
motorcycletherapy.net,insufficient_data,1.0,1,0,0,0.076994
mvnrepository.com,insufficient_data,1.0,20,0,0,0.047736
musthavemods.com,insufficient_data,1.0,13,5,5,0.171787
motostatz.com,insufficient_data,1.0,8,0,0,0.062811
moultonadvertiser.com,insufficient_data,1.0,4,0,0,0.070201
mountainsforeverybody.com,insufficient_data,1.0,2,0,0,0.074588
